pattern,counter
 # ,591309
 # #,456527
# # ,305099
# #,159605
 ( ,113177
 # # ,54439
# # #,49379
 ).,46654
 ) ,36887
 - ,29519
 # (,15227
 ( #,14939
 ) -,14663
# ( ,12605
 ) #,12419
( # ,11651
y # ,10079
t # ,9827
 ( (,7559
 ft.,7007
" "" ",6509
) # ,6335
n # ,5951
 # t,5549
( #,5401
 # C,5393
 # 2,4859
s # ,4199
- # ,4199
# (,4133
s ( ,4049
e # ,4049
r # ,4031
( ( ,3959
n ( ,3899
t #,3779
o # ,3653
) - ,3587
 # f,3431
 ( a,3311
 # a,3311
 ) (,3167
y #,3132
 : ,3079
y ( ,2879
2 ).,2771
2 ),2749
""" # ",2507
 # ( ,2507
...,2493
) -,2443
000,2431
to #,2363
. # ,2279
os (,2279
... ,2267
# to,2249
000 ,2159
 ) # ,2111
 ) ),2087
) #,2069
- #,2067
n #,2065
 # 1,2051
 ( C,2039
s #,1995
2 ) ,1937
m ( ,1937
 # b,1937
ft. ,1919
 # O,1835
 # s,1835
m # ,1835
x ( ,1727
 ( o,1631
 # F,1631
" "" #",1619
x # ,1619
s (,1598
# C,1557
 # I,1529
) ( ,1529
t...,1529
0 # ,1439
in (,1439
 # S,1439
 ( # ,1437
-2-,1391
0 #,1385
2-2-,1379
n (,1367
- ( ,1343
 (2,1329
-2-2,1319
# t,1289
( (,1287
y - ,1259
# 2,1257
e #,1223
 ( ( ,1215
 ) - ,1195
t. ,1183
 ( -,1169
 (2 ,1169
-2 ),1169
ft.,1167
o #,1163
or #,1151
y (,1146
r #,1115
x ).,1091
# C.,1091
( a,1053
00 ,1053
-2 ,1022
 # X,1007
 (2-,1007
# fo,1007
x ) ,1007
- (,989
# f,956
g ( ,935
 It ,935
. #,929
2-2,879
""" ( ",863
 2 ),857
4 ).,857
",000",839
by (,791
in #,791
t - ,791
 - 1,791
c # ,791
. ).,791
( - ,791
x ),779
 ( n,779
( # #,767
# a,755
) ) ,755
im (,719
og (,719
" ) """,719
m #,701
""" #",671
00 #,659
 - #,659
 ( 2,659
2 ( ,659
r ( ,659
00 ),659
-2 (,659
x - ,659
ry ,649
 - (,647
 ft. ,639
't ,623
 2 ,623
x (,620
m (,597
2 (,597
 ( O,593
# It,593
" "" (",587
-yea,575
# I,574
 C.,574
 4 ,571
0000,569
# 1,551
x #,549
0 ),549
(2 ),539
at #,539
e ( ,539
 ( t,539
d # ,539
 # to,527
"x "" ",527
) (,527
(6 ),527
S # ,527
g # ,527
 (6,519
 ) ( ,509
# F,505
- 1,505
" ( """,503
 ( b,479
 # A,479
(000,479
cos (,479
" "" -",479
 (6 ,461
( C,459
( at,431
im #,431
 # i,431
t ( ,431
-b ),431
oss ,431
r ).,431
it #,431
4 ( ,431
# O.,431
( or,431
 # E,431
f ( ,431
# si,431
sinf,431
-tan,431
e ) ,431
3 ).,431
# 2/,431
 (00,431
# S,419
 #0,419
6 ft,419
....,419
3 ),413
# b,398
"( "" ",395
# O,379
# s,379
 # 7,377
 b.,377
 # n,377
