pattern,counter
 # #,11464
# # ,6953
n ( ,3417
 ( #,3012
( # ,2439
 ) #,2205
 ) -,1596
 ( a,1052
# ( ,1015
s ( ,989
in (,867
) # ,755
000 ,649
) - ,623
sin ,597
 # a,419
 # ),377
an (,339
# ) ,339
-4ac,305
-000,287
y # ,287
 # C,287
tan ,269
- ( ,269
00 #,254
 3 ),239
2 ) ,239
 ( 2,239
 ( E,239
cos ,237
" ) """,220
 - E,209
( a-,209
 - (,207
0 # ,181
 ( n,181
5 ) ,181
os (,179
 a-b,167
 to ,155
4ac.,155
 # 2,155
-2 ),155
 # E,155
 # b,155
 cos,155
 # 3,131
a # ,131
 # I,129
s - ,119
1 3 ,109
 ( (,107
 - 5,89
# CO,89
e - ,89
 Tr.,89
 as ,89
r ( ,89
 sin,89
. 3 ,89
 # (,89
m. 3,89
25 ),89
x # ,89
x ) ,87
3 # ,87
 ft.,79
. # ,71
 at ,71
 ) d,71
a t ,71
 ) (,71
e ( ,71
t # ,71
# a ,71
 yet,71
s # ,71
) ( ,71
( ( ,69
 # 1,62
sinc,55
" ( """,55
""" # ",55
 25 ,55
( 25,55
 the,55
the ,55
 - e,55
 in ,55
 # T,55
are ,41
( ar,41
ry #,41
at b,41
yet ,41
( at,41
 # t,41
- er,41
t ( ,41
 - 1,41
"( "" ",41
ogs ,41
Tr.2,41
# E.,41
",000",41
 erf,41
gs (,41
") "" ",41
E ) ,41
# Tr,41
ft. ,41
any ,41
 any,41
t 14,41
" "" s",41
- E.,41
X ) ,41
t is,39
 and,39
c ) ,34
 are,34
-178,29
a-be,29
-be ,29
1789,29
"""t b",29
art ,29
rt b,29
-400,29
 ( -,29
 # c,29
0 ) ,29
nce ,29
( X-,29
- # ,29
e # ,29
P ( ,29
s ) ,29
( - ,29
 ( C,29
 ( i,29
.000,29
n-2 ,29
 # v,29
y't ,29
't y,29
00 -,29
0 - ,29
sun ,29
 ( o,29
 -00,29
4 ) ,29
was ,29
ver-,29
n # ,29
) do,29
 + 3,29
-132,29
 3 #,29
 It ,27
 ( O,27
1-00,23
t be,23
( E ,19
 a c,19
rf (,19
COS ,19
 f (,19
 - a,19
" "" #",19
( E.,19
 2 ),19
ince,19
 E.O,19
ny #,19
erf ,19
t bx,19
 ( m,19
 E ),19
 bx ,19
 # s,19
un (,19
. ( ,19
z - ,19
""" ) ",19
# co,19
) -5,19
6-4a,19
as #,19
( n-,19
er (,19
ain ,19
 4 ),19
 be ,19
ide ,19
 ( 4,19
try ,19
( 4 ,19
. ) ,19
t ye,19
3 ).,19
f ( ,19
 - 2,19
e ) ,19
... ,19
""" ( ",19
"a""t ",19
2 # ,19
be ),19
ax a,19
 m. ,19
-b- ,19
 -13,19
 was,19
 X ),19
1 +2,19
4 in,19
et #,19
and ,17
13 #,17
t to,14
 it ,14
m # ,14
ven ,14
rief,14
20 #,11
# 3 ,11
 -6 ,11
(m. ,11
 E. ,11
" "" a",11
-b t,11
( 2 ,11
 ( X,11
(x ),11
 (x ,11
( X ,11
 J. ,11
. J.,11
3 + ,11
 t (,11
.H. ,11
 - I,11
 t. ,11
2 dx,11
 3 +,11
. Tr,11
( m.,11
a ) ,11
 (m.,11
"a "" ",11
000-,11
 n-2,11
 bxt,11
 axt,11
0-00,11
re a,11
"""a """,11
3 dx,11
 ) r,11
r. 3,11
00 (,11
 you,11
fter,11
O.O.,11
afte,11
3 ) ,11
t ) ,11
 # S,11
s to,11
1 # ,11
en (,11
out ,11
 arb,11
Sex ,11
t bi,11
( a ,11
 a ),11
ver ,11
( Es,11
( si,11
 COS,11
ost ,11
T # ,11
E.O.,11
 (m-,11
SITE,11
(m-2,11
m-2 ,11
.T. ,11
" "" )",11
on (,11
r # ,11
 Ex ,11
er #,11
as a,11
 dx.,11
# 2/,11
 4.5,11
x + ,11
 day,11
( Ex,11
It i,9
# It,9
ext ,7
 an ,7
 COM,7
 1-0,7
x 4 ,7
 eve,7
 ) ),7
) ) ,7
 C. ,7
0000,6
VITZ,5
K -1,5
132K,5
2-13,5
 ( G,5
32K-,5
2K-1,5
zide,5
0 ( ,5
VITV,5
 2/2,5
"t b""",5
at V,5
2014,5
ITVI,5
x2 d,5
 - p,5
# b*,5
TV. ,5
ITV.,5
 ( F,5
TVIT,5
 b* ,5
pin ,5
rt 1,5
. 3.,5
# 3.,5
E.H.,5
( 3 ,5
 ( 3,5
bxt ,5
b-4a,5
Tan ,5
 tan,5
b t.,5
7.89,5
 ( 7,5
# C ,5
 (20,5
xt b,5
ITE ,5
6 ft,5
Mr. ,5
 Mr.,5
ust ,5
sir ,5
) -0,5
ir (,5
ge (,5
""" si",5
 E.H,5
2 h.,5
56-4,5
sinf,5
inf ,5
0x +,5
20x ,5
de -,5
